InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
1,16,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,16,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,17,1,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,17,2,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,17,5,0,0,0,0,0,0,0,0,4,0,4,0,0,119
1,17,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,18,4,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,18,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,18,2,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,19,1,0,0,0,0,0,0,0,0,4,0,4,0,0,119
1,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,119
1,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,119
1,19,4,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,19,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,19,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,20,1,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,20,2,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,20,3,1,0,0,0,0,0,0,0,1,0,1,0,0,119
1,20,4,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,119
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,1,2,0,0,0,0,0,0,1,0,2,0,2,0,0,122
2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,1,5,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,1,6,0,1,0,0,0,0,1,0,0,0,1,1,0,122
2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,2,3,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,122
2,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,122
2,3,4,0,0,0,0,0,0,1,0,4,0,4,0,0,122
2,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,4,1,0,0,0,0,0,0,1,0,4,0,4,0,0,122
2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0,122
2,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,4,6,0,0,0,0,1,0,1,0,0,0,0,0,1,122
2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,122
2,5,2,0,0,0,0,0,0,1,0,4,0,4,0,0,122
2,5,3,0,0,0,0,0,0,1,0,1,0,1,0,0,122
